t_index term df
1 aan 1
2 aaron 2
3 ab 1
4 aback 1
5 abahd 1
6 abandon 37
7 abat 1
8 abc 49
9 abdallah 2
10 abdel 3
11 abdomin 2
12 abduct 2
13 abdul 5
14 abdullah 40
15 abdurahman 1
16 aberr 1
17 abhad 1
18 abhiyan 1
19 abhorr 2
20 abid 7
21 abidjan 36
22 abijan 1
23 abil 32
24 abl 105
25 ablaz 3
26 abnorm 1
27 aboard 93
28 abobo 3
29 abolish 4
30 abomin 1
31 abort 7
32 abou 1
33 abound 4
34 about 1
35 abovo 1
36 abraham 10
37 abreast 1
38 abrego 1
39 abroad 52
40 abrog 2
41 abrupt 1
42 abruptli 4
43 abscam 1
44 absenc 6
45 absent 4
46 absente 7
47 absentia 3
48 absolut 43
49 absorb 9
50 abstain 1
51 abstent 1
52 absurd 2
53 abu 7
54 abund 2
55 abus 28
56 abuzaakouk 1
57 abyan 1
58 abyssinian 1
59 academ 6
60 academi 4
61 academia 1
62 acced 1
63 acceler 4
64 accent 2
65 accentu 2
66 accept 124
67 access 41
68 accid 32
69 accident 3
70 accommod 11
71 accompani 33
72 accomplic 5
73 accomplish 10
74 accord 145
75 accordingli 1
76 accordion 1
77 account 125
78 accredit 1
79 accumul 2
80 accur 14
81 accuraci 1
82 accus 131
83 accustom 2
84 ace 27
85 acerb 2
86 achiev 31
87 acid 2
88 acknowledg 55
89 acolyt 1
90 acosta 1
91 acquaint 1
92 acquiesc 1
93 acquir 5
94 acquisit 1
95 acquit 5
96 acquitt 3
97 acrimoni 2
98 acrobat 5
99 acronym 1
100 across 119
101 act 135
102 action 94
103 activ 89
104 activist 19
105 actor 4
106 actress 2
107 actual 66
108 ad 119
109 adam 8
110 adapt 5
111 add 18
112 adden 1
113 addit 74
114 address 64
115 adem 1
116 aden 169
117 adequ 7
118 adher 4
119 adjac 4
120 adjam 2
121 adjoin 3
122 adjourn 3
123 adjust 7
124 adlai 1
125 admen 1
126 administ 9
127 administr 115
128 admir 38
129 admiralti 1
130 admiringli 1
131 admiss 2
132 admit 40
133 ado 2
134 adob 1
135 adolesc 2
136 adopt 17
137 adorn 1
138 adoubi 1
139 adrain 1
140 adrenalin 1
141 adriat 1
142 adrift 4
143 adult 10
144 advanc 66
145 advani 1
146 advantag 21
147 adventist 1
148 adventur 2
149 advers 2
150 adversari 2
151 advertis 12
152 advic 6
153 advis 83
154 advisor 10
155 advisori 2
156 advoc 13
157 advocaci 2
158 aegi 5
159 aerial 3
160 aeroflot 1
161 affabl 1
162 affair 48
163 affect 29
164 affection 1
165 affili 6
166 affirm 6
167 afflict 1
168 afford 7
169 affront 2
170 afghan 15
171 afghanistan 46
172 afi 2
173 afibia 1
174 afield 1
175 afir 2
176 afloat 13
177 afoul 1
178 afraid 28
179 afredo 1
180 africa 65
181 african 48
182 aft 3
183 aftehock 1
184 aftermath 14
185 afternoon 59
186 aftershock 43
187 afterward 13
188 afundament 1
189 agarw 1
190 agassi 47
191 agbayani 1
192 age 35
193 agenc 117
194 agenda 14
195 agent 83
196 agglomer 1
197 aggrav 12
198 aggress 24
199 agil 1
200 agit 1
201 ago 207
202 agon 6
203 agoni 3
204 agonizingli 1
205 agre 77
206 agreement 49
207 agricultur 15
208 agustin 1
209 ah 1
210 aha 1
211 ahead 53
212 ahemdabad 1
213 ahm 15
214 ahmad 1
215 ahmadabad 2
216 ahmar 1
217 ahmedabad 20
218 ahold 1
219 ahren 1
220 ai 1
221 aid 158
222 aida 2
223 ail 5
224 ailment 1
225 aim 35
226 ainst 1
227 air 170
228 aircraft 27
229 airdrop 2
230 airfield 1
231 airforc 1
232 airlift 4
233 airlin 6
234 airlock 1
235 airman 1
236 airmen 11
237 airplan 7
238 airport 49
239 airstrik 3
240 airtim 2
241 airwav 1
242 airway 3
243 aisl 3
244 aj 1
245 ajax 1
246 ajnar 3
247 akaka 2
248 akan 2
249 akin 3
250 akishio 1
251 akouedo 1
252 al 74
253 ala 2
254 alabama 5
255 alain 1
256 alami 1
257 alamoudi 1
258 alan 5
259 alarm 19
260 alasan 1
261 alaska 3
262 alaskan 1
263 alassan 27
264 albani 1
265 albania 1
266 albanian 18
267 albeit 4
268 albert 1
269 alberto 66
270 albright 47
271 album 1
272 alce 3
273 alcohol 5
274 alehandr 1
275 alejandro 14
276 aleksa 1
277 aleksandar 6
278 aler 1
279 alert 62
280 alessio 4
281 alex 10
282 alexa 2
283 alexand 9
284 alexandria 1
285 alexei 1
286 alexeyev 1
287 alexsand 1
288 alfonso 1
289 alfr 2
290 alfredo 1
291 algeria 3
292 algerian 5
293 ali 44
294 alia 2
295 alibi 1
296 alien 3
297 alight 1
298 align 5
299 alija 1
300 alik 9
301 alisan 2
302 alisha 1
303 aliv 84
304 allah 1
305 allahabad 2
306 allahbad 1
307 allan 1
308 alleg 72
309 allegedli 23
310 allegi 1
311 allen 22
312 allentown 1
313 alley 2
314 alleyway 3
315 alli 86
316 allianc 10
317 alliz 1
318 allot 1
319 allow 133
320 allud 2
321 allus 5
322 alma 1
323 almagor 1
324 almost 118
325 alon 39
326 along 118
327 alongsid 39
328 alou 1
329 alpha 2
330 alphabet 3
331 alpin 1
332 alreadi 164
333 also 477
334 alter 8
335 altern 20
336 although 83
337 altitud 1
338 altogeth 4
339 aluminum 2
340 alun 6
341 alway 93
342 amad 3
343 amanda 17
344 amarillo 2
345 amartej 3
346 amaru 4
347 amass 4
348 amateur 2
349 amaz 10
350 amazingli 1
351 ambassador 47
352 ambersag 1
353 ambigu 1
354 ambit 8
355 ambiti 2
356 ambival 2
357 ambul 11
358 ambush 1
359 ameli 6
360 amend 2
361 amerasian 1
362 america 128
363 american 341
364 americorp 1
365 amh 1
366 ami 2
367 amiabl 2
368 amic 1
369 amid 51
370 amidship 2
371 amin 1
372 amit 1
373 amman 2
374 ammo 1
375 ammonium 1
376 ammunit 22
377 amnesia 2
378 amnesti 2
379 among 182
380 amongst 2
381 amount 30
382 amp 5
383 amphibi 3
384 ampl 2
385 ampli 1
386 amplifi 1
387 amput 12
388 ana 7
389 anacostia 1
390 analges 1
391 analog 1
392 analysi 9
393 analyst 38
394 analyz 5
395 anarch 2
396 anathema 1
397 anatoli 8
398 anca 4
399 ancestor 3
400 ancestr 25
401 ancestri 1
402 anchor 8
403 anchorag 2
404 anchorman 3
405 ancient 4
406 andean 6
407 anderson 4
408 andi 5
409 andjelkov 1
410 andoslavia 1
411 andr 48
412 andrea 14
413 andrei 2
414 andrew 15
415 andrik 1
416 anew 7
417 angel 13
418 anger 46
419 angl 12
420 anglican 1
421 angri 27
422 angrili 4
423 anguish 8
424 anim 2
425 animist 2
426 animos 11
427 anjana 1
428 anjar 6
429 anjay 1
430 ank 2
431 ankl 8
432 ann 11
433 anna 21
434 annabel 1
435 annacon 1
436 annan 13
437 anniversari 15
438 announc 164
439 annoy 2
440 annual 18
441 annul 11
442 anomali 1
443 anonym 63
444 anoth 263
445 answer 48
446 antagon 1
447 antasiaovich 1
448 antenna 2
449 anthem 6
450 anthoni 27
451 anthropologist 2
452 anti 1
453 antiballist 1
454 antibiot 5
455 anticip 17
456 anticlimact 1
457 antonia 6
458 antonin 1
459 antonio 26
460 anwar 4
461 anxieti 3
462 anxiou 11
463 anxious 2
464 anybodi 14
465 anymor 9
466 anyon 58
467 anyth 94
468 anytim 4
469 anyway 13
470 anywher 18
471 aon 1
472 ap 20
473 apart 68
474 ape 1
475 apec 4
476 apex 1
477 apolit 1
478 apolog 18
479 appal 1
480 appallingli 1
481 appar 193
482 apparatu 7
483 appeal 95
484 appear 196
485 appel 1
486 appetit 2
487 appl 3
488 applaud 10
489 applaus 8
490 appleton 2
491 appli 18
492 applic 16
493 appoint 65
494 appointe 3
495 apprais 2
496 appreci 16
497 apprehend 4
498 apprehens 2
499 apprentic 3
500 appris 1
501 approach 49
502 appropri 18
503 approv 25
504 approxim 12
505 april 67
506 aprista 4
507 apron 1
508 aquil 2
509 arab 61
510 arabi 1
511 arabia 71
512 arabian 44
513 arafat 16
514 arantxa 3
515 arazi 7
516 arbadi 1
517 arbit 1
518 arbitrari 2
519 arbitrarili 1
520 arc 1
521 arch 2
522 archaeolog 2
523 archbishop 4
524 archer 1
525 archeri 4
526 archetyp 1
527 archi 3
528 archibald 1
529 architect 7
530 architectur 4
531 arctic 6
532 ardent 4
533 arduou 1
534 are 2
535 area 184
536 arena 22
537 argentin 1
538 argentina 10
539 argu 45
540 arguabl 2
541 argument 18
542 ari 1
543 arid 5
544 arif 1
545 arisen 1
546 arithmet 1
547 aritomi 4
548 ariz 1
549 arizona 7
550 ark 5
551 arkadelphia 1
552 arkan 1
553 arkansa 28
554 arkin 2
555 arleigh 2
