t_index term df
1 aaron 1
2 ab 1
3 abandon 4
4 abc 6
5 abdallah 2
6 abhorr 2
7 abid 2
8 abidjan 10
9 abil 7
10 abl 15
11 aboard 14
12 abou 1
13 abroad 9
14 absenc 2
15 absente 1
16 absolut 9
17 abund 1
18 abus 3
19 academi 1
20 acced 1
21 accept 13
22 access 1
23 accid 9
24 accident 1
25 accompani 7
26 accomplish 3
27 accord 29
28 account 19
29 accur 4
30 accus 20
31 ace 5
32 achiev 10
33 acknowledg 5
34 acquit 1
35 acquitt 1
36 acrobat 3
37 across 25
38 act 25
39 action 9
40 activ 8
41 activist 8
42 actual 9
43 ad 14
44 add 2
45 addit 8
46 address 8
47 aden 9
48 adequ 1
49 adjam 1
50 adjourn 2
51 admen 1
52 administ 2
53 administr 13
54 admir 3
55 admiringli 1
56 admit 1
57 ado 2
58 adopt 5
59 adorn 1
60 adult 2
61 advanc 6
62 advani 1
63 adventist 1
64 advertis 4
65 advic 1
66 advis 18
67 advisor 1
68 aegi 3
69 aerial 1
70 affair 10
71 affect 2
72 affirm 1
73 afghanistan 1
74 afraid 11
75 africa 7
76 african 11
77 afternoon 7
78 aftershock 11
79 afterward 3
80 agassi 10
81 age 7
82 agenc 20
83 agenda 2
84 agent 17
85 aggrav 3
86 aggress 6
87 ago 38
88 agon 2
89 agre 6
90 agreement 9
91 agricultur 6
92 ahead 5
93 ahm 1
94 ahmadabad 1
95 ahmedabad 4
96 aid 30
97 ail 2
98 aim 6
99 air 19
100 aircraft 6
101 airlift 1
102 airlin 1
103 airmen 1
104 airplan 3
105 airport 13
106 aisl 1
107 aj 1
108 akin 1
109 akishio 1
110 al 10
111 alarm 8
112 alaskan 1
113 alassan 11
114 albani 1
115 albanian 3
116 albeit 2
117 albert 1
118 alberto 15
119 albright 11
120 alcohol 1
121 alejandro 3
122 aleksa 1
123 alert 13
124 alex 4
125 alexand 2
126 alexandria 1
127 ali 4
128 alibi 1
129 align 3
130 alik 5
131 aliv 10
132 allahabad 2
133 alleg 12
134 allegedli 3
135 allen 1
136 alli 14
137 allow 16
138 almost 16
139 alon 4
140 along 21
141 alongsid 5
142 alpha 1
143 alphabet 2
144 alreadi 24
145 also 73
146 alter 1
147 altern 2
148 although 10
149 altitud 1
150 alun 4
151 alway 14
152 amanda 1
153 amass 1
154 amateur 1
155 amaz 1
156 ambassador 10
157 ambival 1
158 ambul 2
159 amend 1
160 amerasian 1
161 america 22
162 american 67
163 amid 14
164 ammo 1
165 ammunit 7
166 among 16
167 amount 4
168 amp 1
169 ampl 1
170 ana 6
171 analyst 9
172 analyz 2
173 anca 2
174 ancestr 5
175 andr 10
176 andrea 3
177 andrew 2
178 angel 4
179 anger 5
180 angl 1
181 angri 1
182 anguish 2
183 animos 1
184 ank 1
185 ankl 4
186 ann 2
187 anna 5
188 annabel 1
189 annacon 1
190 annan 1
191 anniversari 2
192 announc 31
193 annual 7
194 anonym 8
195 anoth 39
196 answer 2
197 antasiaovich 1
198 antenna 1
199 anthoni 2
200 anthropologist 2
201 antibiot 4
202 anticip 1
203 antonia 4
204 antonio 9
205 anwar 1
206 anxieti 2
207 anxiou 4
208 anxious 1
209 anybodi 1
210 anymor 1
211 anyon 7
212 anyth 12
213 anytim 2
214 anywher 2
215 ap 1
216 apart 11
217 apec 4
218 apolog 2
219 appar 31
220 apparatu 3
221 appeal 19
222 appear 31
223 appli 3
224 applic 7
225 appoint 5
226 approach 6
227 approv 8
228 april 16
229 arabia 1
230 arabian 9
231 arafat 4
232 arazi 4
233 arbitrari 1
234 archaeolog 2
235 archi 2
236 archibald 1
237 architect 1
238 arctic 1
239 area 28
240 arena 7
241 argentin 1
242 argu 8
243 argument 2
244 arid 2
245 arif 1
246 aritomi 4
247 arizona 1
248 arkansa 7
249 arkin 1
250 arlington 2
251 arm 16
252 armament 1
253 armi 21
254 armor 1
255 armori 1
256 around 41
257 arrang 4
258 arrest 11
259 arriv 35
260 arsen 3
261 arseni 1
262 arthriti 1
263 artifact 1
264 artifici 1
265 artist 1
266 arturo 6
267 asean 1
268 ashcroft 9
269 ashkroft 1
270 ashor 1
271 ashtray 1
272 asia 13
273 asian 6
274 asid 4
275 ask 31
276 assail 3
277 assam 1
278 assassin 6
279 assault 7
280 assembl 2
281 assess 4
282 assign 4
283 assist 16
284 associ 16
285 assum 8
286 assur 8
287 astakhov 3
288 astonish 1
289 astronom 1
290 asylum 12
291 atal 3
292 ath 1
293 atlanta 3
294 atom 2
295 atop 2
296 atp 1
297 attach 4
298 attack 23
299 attempt 17
300 attend 18
301 attent 8
302 attitud 3
303 attorney 9
304 attract 5
305 attribut 1
306 aubrey 6
307 aubri 5
308 audienc 2
309 august 10
310 aunt 1
311 aura 1
312 aussi 1
313 auster 1
314 austin 3
315 australia 7
316 australian 15
317 author 48
318 authoritarian 5
319 autocrat 2
320 automat 4
321 automobil 2
322 autonomi 1
323 autopsi 1
324 avail 6
325 avenu 1
326 averag 6
327 aviat 2
328 avoid 8
329 aw 1
330 await 7
331 awar 1
332 award 2
333 away 32
334 awe 1
335 awkward 1
336 ay 1
337 ayr 1
338 az 1
339 babi 1
340 babkin 1
341 back 56
342 backdrop 1
343 backhand 1
344 backup 1
345 bad 5
346 badg 2
347 badli 10
348 bag 3
349 bahrain 4
350 baijubahi 2
351 bailey 2
352 balanc 2
353 balkan 3
354 ball 4
355 ballist 1
356 ballot 14
357 balsamo 1
358 baltimor 1
359 ban 1
360 band 2
361 bandanna 2
362 bandit 1
363 bang 1
364 bangladesh 3
365 bank 11
366 banner 4
367 bar 13
368 barak 3
369 barb 1
370 barbara 1
371 bare 13
372 barent 12
373 bark 1
374 barkina 1
375 barkolla 1
376 barkova 1
377 barna 2
378 barrack 3
379 barricad 1
380 barrier 3
381 bartlett 1
382 base 19
383 baselin 4
384 basi 2
385 basic 4
386 basket 1
387 batch 1
388 bathroom 1
389 batten 1
390 batter 2
391 battl 13
392 battlefield 1
393 bauman 1
394 bavaria 1
395 bbc 5
396 beach 4
397 bear 1
398 beard 1
399 beat 13
400 beaten 2
401 beauti 1
402 becam 15
403 becom 21
404 bed 2
405 bedi 6
406 began 26
407 begin 37
408 begun 4
409 behari 1
410 behavior 2
411 behind 23
412 bekki 2
413 belch 1
414 belgrad 11
415 belief 5
416 believ 49
417 bell 2
418 belov 1
419 belt 1
420 bema 2
421 beneath 5
422 benefactor 2
423 benefit 4
424 beretta 1
425 bergen 1
426 berger 9
427 berlin 2
428 berth 1
429 besid 5
430 besieg 1
431 best 4
432 bet 1
433 beta 1
434 betray 1
435 better 16
436 beyond 7
437 bhaba 1
438 bhagat 1
439 bhat 1
440 bhuj 4
441 bias 1
442 bicycl 3
443 bid 15
444 big 12
445 biggest 3
446 bihari 2
447 bilater 3
448 bill 6
449 billboard 1
450 billion 5
451 biltera 1
452 bin 1
453 bind 1
454 bindra 1
455 bird 1
456 birger 1
457 birthday 2
458 bit 2
459 bitter 2
460 bitterli 2
461 black 2
462 blacken 1
463 blackmail 1
464 blackout 2
465 blair 1
466 blakemor 1
467 blame 4
468 blanco 4
469 blanket 8
470 blare 1
471 blast 3
472 blatant 2
473 bleacher 1
474 bled 1
475 bleed 2
476 blemish 1
477 blew 3
478 blink 1
479 bloc 3
480 block 11
481 blockad 4
482 blood 5
483 bloodsh 4
484 blow 2
485 blue 2
486 blueprint 2
487 bluf 2
488 board 14
489 boast 1
490 boat 10
491 bob 1
492 bodi 32
493 bodyguard 2
494 bold 2
495 bolona 1
496 bomb 14
497 bombay 4
498 bomber 1
499 bombet 2
500 bombey 1
501 bond 6
502 bone 13
503 bonfir 1
504 book 2
505 boom 2
506 boost 1
507 boot 1
508 border 10
509 bore 1
510 born 9
511 borneo 4
512 bosnian 2
513 boston 4
514 bother 5
515 bottom 7
516 boucher 1
517 boulevard 1
518 bounc 1
519 bound 2
520 bout 2
521 bow 1
522 bowen 1
523 bowl 1
524 bowmen 1
525 box 4
526 boy 4
527 boycot 5
528 boycott 6
529 boyfriend 2
530 brace 1
531 bracket 1
532 brain 1
533 branch 5
534 brandish 1
535 brash 1
536 brazil 1
537 brazilian 1
538 break 15
539 breaker 1
540 breakfast 1
541 breakout 1
542 breakthrough 1
543 breakup 1
544 breast 1
545 breme 1
546 bribe 9
547 briberi 2
548 brick 2
549 bride 1
550 bridg 2
551 brie 4
552 brief 9
553 briefli 2
554 brig 1
555 bright 1
556 brilliant 1
557 bring 14
558 briskli 1
559 britain 1
560 british 3
561 broadcast 6
562 broadli 1
563 broke 13
564 broken 5
565 broker 1
566 brother 8
567 brought 14
568 brown 4
569 bruis 2
570 brunei 17
571 brunswick 1
572 brunt 2
573 brutal 4
574 bryann 1
575 bu 2
576 bucket 3
577 bud 1
578 budget 1
579 budnev 1
580 build 28
581 built 5
582 bulki 1
583 bulldoz 2
584 bullet 1
585 bulletin 1
586 bulletproof 1
587 bulli 2
588 bunch 2
589 buoy 1
590 burch 1
591 bureau 8
592 bureaucraci 2
593 bureaucrat 1
594 burglar 2
595 burglari 3
596 buri 19
597 burk 3
598 burkina 4
599 burkl 3
600 burn 5
601 buse 4
602 bush 14
603 busi 13
604 businessman 13
605 businessmen 1
606 bust 1
607 butcher 2
608 buy 11
609 buzz 2
610 c 1
611 ca 3
612 cabin 2
613 cabinet 7
614 cabl 1
615 cacak 1
616 cafe 1
617 cahokia 3
618 cake 1
619 calam 2
620 calamit 1
621 calcutta 2
622 california 6
623 call 62
624 caller 1
625 calm 12
626 calvario 6
627 calvert 1
628 cambodia 2
629 came 41
630 camera 3
631 camp 5
632 campaign 30
633 campfir 1
634 campu 2
635 canada 9
636 canal 3
637 cancel 13
638 cancer 11
639 candid 31
640 candidaci 6
641 candl 1
642 cannaday 3
643 cap 2
644 capabl 4
645 capac 2
646 capit 35
647 capitol 2
648 capriati 1
649 capsul 1
650 capt 11
651 captain 1
652 captiv 2
653 captur 6
654 car 20
655 card 4
656 care 14
657 career 5
658 carlo 11
659 carlton 1
660 carmen 3
661 carmodi 3
662 carnahan 15
663 carol 3
664 carolina 1
665 carpet 1
666 carr 1
667 carri 17
668 carrier 1
669 carrot 1
670 carv 2
671 carver 1
672 case 29
673 casetch 1
674 cash 4
675 cashier 1
676 casket 2
677 cast 8
678 castro 6
679 casualti 7
680 catastroph 1
681 catch 3
682 catherin 1
683 cathol 1
684 cattl 2
685 caucasian 2
686 caught 5
687 caus 26
688 caution 1
689 cautiou 6
690 cautious 1
691 cayman 1
692 cede 2
693 celebr 11
694 celest 1
695 cell 5
696 cellular 6
697 cement 2
698 censor 1
699 center 25
700 central 16
701 centrist 1
702 centuri 8
703 ceo 1
704 ceremoni 9
705 cerf 2
706 certain 2
707 certainli 11
708 certif 1
709 cesar 1
710 cessna 7
711 cha 1
712 chad 1
713 chair 3
714 chairman 8
715 challeng 16
716 champion 12
717 championship 2
718 chanc 19
719 chancellor 3
720 chang 23
721 channel 1
722 chant 2
723 chao 3
724 chaotic 1
725 chap 2
726 chapel 1
727 chappaqua 3
728 chapter 3
729 charact 1
730 charg 28
731 charl 1
732 charleston 1
733 chase 2
734 chasm 1
735 cheat 1
736 chebeck 3
737 chechnya 1
738 check 3
739 cheer 4
740 chef 1
741 chelsea 5
742 cheney 1
743 cheri 1
744 chetsov 1
745 chi 9
746 chicago 1
747 chief 31
748 child 7
749 children 13
750 chile 4
751 chill 2
752 chillicoth 1
753 china 12
754 chines 6
755 ching 1
756 chip 1
757 chizhov 1
758 chizov 1
759 choi 1
760 choic 4
761 chok 1
762 chon 1
763 choos 1
764 chose 1
765 chri 9
766 christen 1
767 christian 2
768 christina 1
769 christma 16
770 christoph 3
771 chrysanthemum 1
772 chu 1
773 chunk 1
774 church 12
775 circl 1
776 circu 3
777 circuit 2
778 circul 1
779 circumst 6
780 ciss 1
781 cite 6
782 citi 51
783 citizen 14
784 civil 14
785 civilian 17
786 claim 16
787 clair 1
788 clamor 1
789 clash 7
790 class 9
791 classic 4
792 classifi 5
793 classmat 1
794 clean 6
795 clear 22
796 clearer 1
797 clearli 10
798 clemenc 9
799 clergi 2
800 clerk 1
801 clever 1
802 click 1
803 client 3
804 clifford 1
805 clijster 3
806 climat 1
807 climax 1
808 climb 5
809 clinch 1
810 clinic 4
811 clinton 56
812 clod 1
813 closabl 1
814 close 43
815 closer 2
816 closest 2
817 closhg 1
818 closur 2
819 cloth 8
820 cloud 3
821 club 2
822 clue 3
823 cmc 1
824 cmdr 3
825 cnn 3
826 coach 2
827 coal 6
828 coalit 4
829 coalmin 1
830 coast 30
831 coastal 4
832 coat 5
833 coca 1
834 cocain 3
835 cocoa 8
836 cocodi 1
837 code 1
838 codi 3
839 coffe 8
840 cohen 5
841 cold 7
842 cole 13
843 coler 5
844 colina 8
845 collaps 22
846 colleagu 1
847 collector 1
848 colleg 8
849 coller 1
850 collid 1
851 collis 6
852 colo 5
853 colobora 1
854 colombian 1
855 coloni 5
856 colorado 3
857 columbia 1
858 column 1
859 columnist 1
860 comasagua 1
861 comb 1
862 combat 1
863 combin 2
864 come 54
865 comeback 1
866 comfort 4
867 command 9
868 commemor 2
869 comment 8
870 commerc 5
871 commerci 9
872 commiss 10
873 commission 1
874 commit 8
875 committe 12
876 common 3
877 commonli 5
878 commun 15
879 communiqu 1
880 communist 12
881 commut 7
882 compani 13
883 compar 1
884 compart 5
885 compass 1
886 compel 2
887 compens 1
888 compet 1
889 competit 6
890 competitor 2
891 complain 9
892 complaint 3
893 complet 13
894 complex 3
895 compli 1
896 complic 5
897 compound 4
898 comprehens 1
899 compromis 2
900 comput 3
901 comrad 1
902 con 2
903 conceal 3
904 conced 9
905 concentr 3
906 concern 16
907 concert 1
908 conciliatori 1
909 conclud 4
910 conclus 2
911 concret 9
912 condemn 3
913 condit 19
914 condol 9
915 conduct 5
916 confer 8
917 confid 10
918 confin 1
919 confirm 18
920 conflict 6
921 confound 2
922 confront 8
923 confus 2
924 congratul 1
925 congress 21
926 congression 2
927 congressman 12
928 conjunct 2
929 connal 7
930 connect 7
931 conqueror 1
932 consecut 15
933 consequ 4
934 consid 21
935 consider 6
936 consist 1
937 constant 4
938 constantinescu 1
939 constitu 2
940 constitut 27
941 construct 3
942 consul 1
943 consular 2
944 consult 2
945 contact 7
946 contain 8
947 contempt 2
948 contend 10
949 contest 8
950 context 1
951 continu 38
952 contract 1
953 contradict 1
954 contrari 1
955 contribut 5
956 control 24
957 controversi 8
958 converg 1
959 convers 3
960 convict 32
961 convinc 5
962 convoy 1
963 cook 3
964 cool 1
965 cooper 17
966 coordin 7
967 cop 1
968 cope 1
969 cordial 1
970 cordillera 1
971 coretta 1
972 cori 2
973 corner 4
974 cornett 1
975 corpor 1
976 corps 4
977 correct 6
978 correspond 6
979 corros 1
980 corrupt 20
981 cost 3
982 costa 1
983 costli 2
984 cotton 4
985 could 65
986 coulibali 4
987 council 7
988 counselor 1
989 count 10
990 counter 5
991 counterattack 1
992 counti 7
993 countless 1
994 countri 59
995 countryman 2
996 countrymen 2
997 countrysid 1
998 coup 11
999 coupl 11
1000 courag 2
1001 courier 1
1002 cours 13
1003 court 35
1004 courtland 1
1005 courtroom 3
1006 coven 1
1007 cover 10
